Iteração,x0,x1,f(x0),f(x1),x_next,Erro
1,2.000000,3.000000,-3.000000,2.000000,2.600000,0.400000
2,3.000000,2.600000,2.000000,-0.240000,2.642857,0.042857
3,2.600000,2.642857,-0.240000,-0.015306,2.645777,0.002919
4,2.642857,2.645777,-0.015306,0.000134,2.645751,0.000025
5,2.645777,2.645751,0.000134,-0.000000,2.645751,0.000000
