Iteração,x,f(x),x_next,Erro
1,3.000000,2.000000,2.666667,2.000000
2,2.666667,0.111111,2.645833,0.111111
3,2.645833,0.000434,2.645751,0.000434
4,2.645751,0.000000,2.645751,0.000000
